314_354;352223.93;6464093.52;0.43;
314_355;352703.07;6464109.71;0.25;
314_356;352407.52;6465132.1;0.16;
314_357;354687.87;6467132.68;0.2;
314_358;351275.48;6464078.43;0.11;
314_359;349402.3;6463629.21;0.21;
314_360;349913.16;6463592.99;0.36;
314_361;350381.12;6463649.22;0.3;
314_363;351475.54;6463635.87;0.29;
314_364;352511.26;6463717.71;0.4;
314_365;352962.85;6463706.38;0.42;
314_366;355196.68;6467136.12;0.15;
314_367;354612.86;6466769.28;0.11;
314_369;349658.73;6463040.23;0.46;
314_370;350182.78;6463147.93;0.37;
314_371;350685.49;6463195.3;0.32;
314_372;352679.4;6463354.45;0.44;
314_375;354034.83;6466667.66;0.16;
314_376;352005.51;6463618.89;0.38;
314_377;354344.05;6467905.84;0.22;
314_378;350987.91;6463691.76;0.3;
314_381;351336.72;6466094.77;0.25;
314_382;349105.17;6463102.21;0.36;
314_425;356925.91;6469844.27;0.58;
314_427;357579.54;6468748.27;0.28;
314_428;357865.42;6469319.45;0.64;
314_433;356347.56;6468777.24;0.37;
314_436;357667.22;6468968.99;0.17;
314_450;351855.91;6467322.98;0.75;
314_452;351278.1;6466962.5;0.84;
314_455;351911.55;6467818.86;0.9;
314_601;354809.93;6461999.09;0.26;
314_603;355080.21;6462279.17;0.23;
