Скважина;Пласт РИГИС;Пластпропласт;Глубина кровли пласта;Толщина;Абсолютная глубина;Абсолютная толщина;Литология;Коллектор
233;Ю1-3-4;Ю1-3-4;3 492.40;1.20;2 598.37;1.17;SAND_GL;да
298R;Ю1-3-4;Ю1-3-4;2 700.40;0.70;2 598.40;0.70;ARGILLIT;нет
133;Ю1-3-4;Ю1-3-4;3 013.80;0.40;2 598.41;0.40;ALEVROLIT;да
189;Ю1-3-4;Ю1-3-4;3 121.80;1.00;2 598.42;0.98;SAND_UPLOT;да
215ST2;Ю1-3-4;Ю1-3-4;3 486.40;1.00;2 598.44;0.99;DENSE;нет
184;Ю1-3-4;Ю1-3-4;3 542.00;1.60;2 598.45;1.58;SAND_ALEV;да
428;Ю1-3-4;Ю1-3-4;3 014.40;1.00;2 598.49;0.99;DENSE;нет
336;Ю1-3-4;Ю1-3-4;3 252.40;1.40;2 598.51;1.39;DENSE;нет
213;Ю1-3-4;Ю1-3-4;3 563.60;2.40;2 598.53;2.36;SAND;да
144;Ю1-3-4;Ю1-3-4;2 857.40;0.40;2 598.56;0.39;SAND_GL;да
232;Ю1-3-4;Ю1-3-4;3 429.00;0.60;2 598.58;0.59;SAND_UPLOT;да
193;Ю1-3-4;Ю1-3-4;3 403.20;1.80;2 598.60;1.76;SAND_GL;да
329;Ю1-3-4;Ю1-3-4;3 174.20;0.60;2 598.62;0.58;ARGILLIT;нет
603;Ю1-3-4;Ю1-3-4;3 477.80;1.20;2 598.66;1.18;SAND_UPLOT;да
160;Ю1-3-4;Ю1-3-4;3 335.60;5.80;2 598.68;5.67;ARGILLIT;нет
173;Ю1-3-4;Ю1-3-4;3 574.80;0.60;2 598.78;0.58;ALEVROLIT;да
602;Ю1-3-4;Ю1-3-4;3 543.00;2.40;2 598.89;2.07;SAND;да
144;Ю1-3-4;Ю1-3-4;2 857.80;0.80;2 598.95;0.80;SAND_GL;да
155;Ю1-3-4;Ю1-3-4;3 411.00;1.40;2 599.03;1.37;SAND_GL;да
207;Ю1-3-4;Ю1-3-4;3 098.60;1.40;2 599.05;1.39;SAND_GL;да
321;Ю1-3-4;Ю1-3-4;2 897.60;1.00;2 599.08;0.97;ALEVROLIT;да
202;Ю1-3-4;Ю1-3-4;3 207.40;0.40;2 599.09;0.39;ALEVROLIT;да
298R;Ю1-3-4;Ю1-3-4;2 701.10;0.80;2 599.10;0.80;ALEVROLIT;да
140;Ю1-3-4;Ю1-3-4;2 953.20;0.60;2 599.11;0.60;SAND_SL_PR;да
240;Ю1-3-4;Ю1-3-4;3 565.20;2.20;2 599.16;1.90;NYA_KOLLEKTOR;да
232;Ю1-3-4;Ю1-3-4;3 429.60;8.40;2 599.17;8.33;ARGILLIT;нет
644;Ю1-3-4;Ю1-3-4;2 763.40;1.60;2 599.18;1.60;SAND;да
329;Ю1-3-4;Ю1-3-4;3 174.80;0.60;2 599.20;0.59;DENSE;нет
600ST2;Ю1-3-4;Ю1-3-4;3 568.60;0.40;2 599.23;0.38;ALEVROLIT;да
241;Ю1-3-4;Ю1-3-4;2 900.40;2.60;2 599.24;2.46;ARGILLIT;нет
206;Ю1-3-4;Ю1-3-4;3 543.20;1.20;2 599.29;1.18;SAND_GL;да
157;Ю1-3-4;Ю1-3-4;3 211.40;0.60;2 599.31;0.59;ALEVROLIT;да
154;Ю1-3-4;Ю1-3-4;3 508.00;2.40;2 599.34;2.39;ARGILLIT;нет
